rec_id_hour,datetime,season_hour,year_hour,month_hour,hour,holiday_hour,weekday_hour,workingday_hour,weather_condition_hour,temp_hour,atemp_hour,humidity_hour,windspeed_hour,casual_hour,registered_hour,total_count_hour,rec_id_day,season_day,year_day,month_day,holiday_day,weekday_day,workingday_day,weather_condition_day,temp_day,atemp_day,humidity_day,windspeed_day,casual_day,registered_day,total_count_day,workingday_label,season_label,month_label
19,2011-01-19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9.0,26.0,35.0,19,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78.0,1572,1650,workingday,musim_semi,January
20,2011-01-20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6.0,31.0,37.0,20,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83.0,1844,1927,workingday,musim_semi,January
21,2011-01-21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11.0,25.0,36.0,21,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75.0,1468,1543,workingday,musim_semi,January
22,2011-01-22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3.0,31.0,34.0,22,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93.0,888,981,holiday,musim_semi,January
23,2011-01-23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11.0,17.0,28.0,23,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150.0,836,986,holiday,musim_semi,January
24,2011-01-24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15.0,24.0,39.0,24,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86.0,1330,1416,workingday,musim_semi,January
25,2011-01-25,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4.0,13.0,17.0,25,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186.0,1799,1985,workingday,musim_semi,January
26,2011-01-26,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1.0,16.0,17.0,26,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34.0,472,506,workingday,musim_semi,January
27,2011-01-27,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1.0,8.0,9.0,27,1,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15.0,416,431,workingday,musim_semi,January
28,2011-01-28,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2.0,4.0,6.0,28,1,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38.0,1129,1167,workingday,musim_semi,January
29,2011-01-29,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2.0,1.0,3.0,29,1,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123.0,975,1098,holiday,musim_semi,January
30,2011-01-30,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0.0,2.0,2.0,30,1,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140.0,956,1096,holiday,musim_semi,January
31,2011-01-31,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0.0,1.0,1.0,31,1,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42.0,1459,1501,workingday,musim_semi,January
32,2011-02-01,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0.0,8.0,8.0,32,1,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47.0,1313,1360,workingday,musim_semi,February
33,2011-02-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1.0,19.0,20.0,33,1,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72.0,1454,1526,workingday,musim_semi,February
34,2011-02-03,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7.0,46.0,53.0,34,1,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61.0,1489,1550,workingday,musim_semi,February
35,2011-02-04,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16.0,54.0,70.0,35,1,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88.0,1620,1708,workingday,musim_semi,February
36,2011-02-05,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20.0,73.0,93.0,36,1,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100.0,905,1005,holiday,musim_semi,February
37,2011-02-06,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11.0,64.0,75.0,37,1,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354.0,1269,1623,holiday,musim_semi,February
38,2011-02-07,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4.0,55.0,59.0,38,1,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120.0,1592,1712,workingday,musim_semi,February
39,2011-02-08,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19.0,55.0,74.0,39,1,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64.0,1466,1530,workingday,musim_semi,February
40,2011-02-09,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9.0,67.0,76.0,40,1,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53.0,1552,1605,workingday,musim_semi,February
41,2011-02-10,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7.0,58.0,65.0,41,1,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47.0,1491,1538,workingday,musim_semi,February
42,2011-02-11,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10.0,43.0,53.0,42,1,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149.0,1597,1746,workingday,musim_semi,February
43,2011-02-12,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1.0,29.0,30.0,43,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288.0,1184,1472,holiday,musim_semi,February
44,2011-02-13,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5.0,17.0,22.0,44,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397.0,1192,1589,holiday,musim_semi,February
45,2011-02-14,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11.0,20.0,31.0,45,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208.0,1705,1913,workingday,musim_semi,February
46,2011-02-15,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0.0,9.0,9.0,46,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140.0,1675,1815,workingday,musim_semi,February
47,2011-02-16,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0.0,8.0,8.0,47,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218.0,1897,2115,workingday,musim_semi,February
48,2011-02-17,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0.0,5.0,5.0,48,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259.0,2216,2475,workingday,musim_semi,February
49,2011-02-18,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0.0,2.0,2.0,49,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579.0,2348,2927,workingday,musim_semi,February
50,2011-02-19,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0.0,1.0,1.0,50,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532.0,1103,1635,holiday,musim_semi,February
51,2011-02-20,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0.0,3.0,3.0,51,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639.0,1173,1812,holiday,musim_semi,February
52,2011-02-21,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0.0,30.0,30.0,52,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195.0,912,1107,holiday,musim_semi,February
53,2011-02-22,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1.0,63.0,64.0,53,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74.0,1376,1450,workingday,musim_semi,February
54,2011-02-23,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1.0,153.0,154.0,54,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139.0,1778,1917,workingday,musim_semi,February
55,2011-02-24,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7.0,81.0,88.0,55,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100.0,1707,1807,workingday,musim_semi,February
56,2011-02-25,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11.0,33.0,44.0,56,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120.0,1341,1461,workingday,musim_semi,February
57,2011-02-26,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10.0,41.0,51.0,57,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424.0,1545,1969,holiday,musim_semi,February
58,2011-02-27,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13.0,48.0,61.0,58,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694.0,1708,2402,holiday,musim_semi,February
59,2011-02-28,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8.0,53.0,61.0,59,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81.0,1365,1446,workingday,musim_semi,February
60,2011-03-01,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11.0,66.0,77.0,60,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137.0,1714,1851,workingday,musim_semi,March
61,2011-03-02,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14.0,58.0,72.0,61,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231.0,1903,2134,workingday,musim_semi,March
62,2011-03-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9.0,67.0,76.0,62,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123.0,1562,1685,workingday,musim_semi,March
63,2011-03-04,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11.0,146.0,157.0,63,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214.0,1730,1944,workingday,musim_semi,March
64,2011-03-05,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9.0,148.0,157.0,64,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640.0,1437,2077,holiday,musim_semi,March
65,2011-03-06,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8.0,102.0,110.0,65,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114.0,491,605,holiday,musim_semi,March
66,2011-03-07,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3.0,49.0,52.0,66,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244.0,1628,1872,workingday,musim_semi,March
67,2011-03-08,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3.0,49.0,52.0,67,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316.0,1817,2133,workingday,musim_semi,March
68,2011-03-09,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0.0,20.0,20.0,68,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191.0,1700,1891,workingday,musim_semi,March
69,2011-03-10,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1.0,11.0,12.0,69,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46.0,577,623,workingday,musim_semi,March
70,2011-03-11,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0.0,5.0,5.0,70,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247.0,1730,1977,workingday,musim_semi,March
71,2011-03-12,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0.0,2.0,2.0,71,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724.0,1408,2132,holiday,musim_semi,March
72,2011-03-13,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0.0,1.0,1.0,72,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982.0,1435,2417,holiday,musim_semi,March
73,2011-03-14,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0.0,2.0,2.0,73,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359.0,1687,2046,workingday,musim_semi,March
74,2011-03-15,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0.0,4.0,4.0,74,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289.0,1767,2056,workingday,musim_semi,March
75,2011-03-16,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0.0,36.0,36.0,75,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321.0,1871,2192,workingday,musim_semi,March
76,2011-03-17,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2.0,92.0,94.0,76,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424.0,2320,2744,workingday,musim_semi,March
77,2011-03-18,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2.0,177.0,179.0,77,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884.0,2355,3239,workingday,musim_semi,March
78,2011-03-19,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2.0,98.0,100.0,78,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424.0,1693,3117,holiday,musim_semi,March
79,2011-03-20,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5.0,37.0,42.0,79,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047.0,1424,2471,holiday,musim_semi,March
80,2011-03-21,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7.0,50.0,57.0,80,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401.0,1676,2077,workingday,musim_panas,March
81,2011-03-22,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12.0,66.0,78.0,81,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460.0,2243,2703,workingday,musim_panas,March
82,2011-03-23,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18.0,79.0,97.0,82,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203.0,1918,2121,workingday,musim_panas,March
83,2011-03-24,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9.0,54.0,63.0,83,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166.0,1699,1865,workingday,musim_panas,March
84,2011-03-25,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17.0,48.0,65.0,84,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300.0,1910,2210,workingday,musim_panas,March
85,2011-03-26,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15.0,68.0,83.0,85,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981.0,1515,2496,holiday,musim_panas,March
86,2011-03-27,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10.0,202.0,212.0,86,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472.0,1221,1693,holiday,musim_panas,March
87,2011-03-28,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3.0,179.0,182.0,87,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222.0,1806,2028,workingday,musim_panas,March
88,2011-03-29,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2.0,110.0,112.0,88,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317.0,2108,2425,workingday,musim_panas,March
89,2011-03-30,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1.0,53.0,54.0,89,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168.0,1368,1536,workingday,musim_panas,March
90,2011-03-31,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0.0,48.0,48.0,90,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179.0,1506,1685,workingday,musim_panas,March
91,2011-04-01,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1.0,34.0,35.0,91,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307.0,1920,2227,workingday,musim_panas,April
92,2011-04-02,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2.0,9.0,11.0,92,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898.0,1354,2252,holiday,musim_panas,April
93,2011-04-03,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0.0,6.0,6.0,93,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651.0,1598,3249,holiday,musim_panas,April
94,2011-04-04,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0.0,6.0,6.0,94,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734.0,2381,3115,workingday,musim_panas,April
95,2011-04-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0.0,2.0,2.0,95,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167.0,1628,1795,workingday,musim_panas,April
96,2011-04-06,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0.0,2.0,2.0,96,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413.0,2395,2808,workingday,musim_panas,April
97,2011-04-07,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0.0,3.0,3.0,97,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571.0,2570,3141,workingday,musim_panas,April
98,2011-04-08,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0.0,33.0,33.0,98,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172.0,1299,1471,workingday,musim_panas,April
99,2011-04-09,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1.0,87.0,88.0,99,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879.0,1576,2455,holiday,musim_panas,April
100,2011-04-10,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3.0,192.0,195.0,100,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188.0,1707,2895,holiday,musim_panas,April
101,2011-04-11,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6.0,109.0,115.0,101,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855.0,2493,3348,workingday,musim_panas,April
102,2011-04-12,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4.0,53.0,57.0,102,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257.0,1777,2034,workingday,musim_panas,April
103,2011-04-13,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12.0,34.0,46.0,103,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209.0,1953,2162,workingday,musim_panas,April
104,2011-04-14,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5.0,74.0,79.0,104,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529.0,2738,3267,workingday,musim_panas,April
105,2011-04-15,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6.0,65.0,71.0,105,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642.0,2484,3126,holiday,musim_panas,April
106,2011-04-16,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10.0,52.0,62.0,106,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121.0,674,795,holiday,musim_panas,April
107,2011-04-17,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7.0,55.0,62.0,107,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558.0,2186,3744,holiday,musim_panas,April
108,2011-04-18,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4.0,85.0,89.0,108,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669.0,2760,3429,workingday,musim_panas,April
109,2011-04-19,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4.0,186.0,190.0,109,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409.0,2795,3204,workingday,musim_panas,April
110,2011-04-20,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3.0,166.0,169.0,110,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613.0,3331,3944,workingday,musim_panas,April
111,2011-04-21,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5.0,127.0,132.0,111,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745.0,3444,4189,workingday,musim_panas,April
112,2011-04-22,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7.0,82.0,89.0,112,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177.0,1506,1683,workingday,musim_panas,April
113,2011-04-23,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3.0,40.0,43.0,113,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462.0,2574,4036,holiday,musim_panas,April
114,2011-04-24,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1.0,41.0,42.0,114,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710.0,2481,4191,holiday,musim_panas,April
115,2011-04-25,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1.0,18.0,19.0,115,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773.0,3300,4073,workingday,musim_panas,April
116,2011-04-26,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0.0,11.0,11.0,116,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678.0,3722,4400,workingday,musim_panas,April
117,2011-04-27,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0.0,4.0,4.0,117,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547.0,3325,3872,workingday,musim_panas,April
118,2011-04-28,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0.0,2.0,2.0,118,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569.0,3489,4058,workingday,musim_panas,April
119,2011-04-29,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0.0,1.0,1.0,119,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878.0,3717,4595,workingday,musim_panas,April
120,2011-04-30,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0.0,4.0,4.0,120,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965.0,3347,5312,holiday,musim_panas,April
